Team,FG%,3P%,FT%,ORB,DRB,TRB,Assists,Steals,Block,Offensive Rating,Opponent FG%,Opponent 3P%,Opponent TRB,Defensive Rating,Net Rating,Year
Oklahoma City Thunder,0.474,0.358,0.825,10.1,33.7,43.8,26.3,11.4,5.8,116.8,0.428,0.32,46.4,103.9,12.9,2025
Cleveland Cavaliers,0.498,0.396,0.783,10.0,34.0,44.1,29.0,8.4,4.5,121.8,0.459,0.366,43.3,111.4,10.4,2025
Boston Celtics,0.459,0.363,0.794,11.4,34.8,46.2,26.0,7.8,5.9,120.0,0.451,0.349,45.3,110.2,9.8,2025
Memphis Grizzlies,0.484,0.37,0.769,12.3,33.5,45.8,28.1,8.9,5.7,117.4,0.447,0.348,41.5,109.6,7.8,2025
New York Knicks,0.494,0.375,0.805,10.9,33.6,44.5,28.0,7.9,3.9,120.2,0.468,0.377,42.1,114.0,6.2,2025
Houston Rockets,0.448,0.338,0.756,14.7,33.9,48.5,22.4,9.3,5.2,114.3,0.451,0.362,43.2,108.3,6.0,2025
Denver Nuggets,0.504,0.386,0.769,10.8,34.2,45.1,30.6,8.3,4.7,119.0,0.462,0.35,41.9,113.8,5.2,2025
Dallas Mavericks,0.476,0.368,0.773,11.0,33.9,45.0,25.2,8.4,5.9,115.9,0.453,0.359,45.1,112.5,3.4,2025
Milwaukee Bucks,0.483,0.388,0.733,8.5,35.8,44.3,25.0,7.6,5.2,114.3,0.451,0.355,44.9,111.4,2.9,2025
Los Angeles Clippers,0.468,0.36,0.785,10.6,34.2,44.8,24.7,9.9,4.6,111.1,0.453,0.34,43.3,108.3,2.8,2025
Sacramento Kings,0.475,0.349,0.809,10.7,33.8,44.6,26.4,8.1,4.7,116.0,0.463,0.372,42.9,113.3,2.7,2025
Minnesota Timberwolves,0.459,0.383,0.779,10.8,34.3,45.1,25.5,8.0,4.9,112.9,0.452,0.347,44.5,110.9,2.0,2025
Miami Heat,0.458,0.37,0.792,9.6,34.8,44.4,26.8,8.6,3.9,113.2,0.462,0.358,46.5,112.3,0.9,2025
Indiana Pacers,0.49,0.373,0.771,8.9,33.0,41.9,28.4,8.2,5.2,115.2,0.471,0.352,44.0,114.6,0.6,2025
Golden State Warriors,0.446,0.362,0.714,12.9,33.9,46.8,28.5,8.9,5.4,111.6,0.458,0.359,45.6,112.0,-0.4,2025
Orlando Magic,0.44,0.303,0.771,11.6,31.5,43.0,24.3,9.6,6.6,107.9,0.471,0.367,42.8,108.4,-0.5,2025
Detroit Pistons,0.467,0.364,0.77,11.3,33.8,45.1,25.6,7.3,5.1,112.4,0.468,0.376,42.3,113.4,-1.0,2025
San Antonio Spurs,0.455,0.344,0.792,11.1,34.7,45.8,28.7,7.4,7.0,112.5,0.459,0.358,46.0,113.9,-1.4,2025
Phoenix Suns,0.475,0.377,0.796,9.3,33.9,43.3,27.9,7.8,5.1,115.2,0.463,0.361,45.9,117.0,-1.8,2025
Atlanta Hawks,0.463,0.353,0.781,11.9,32.0,43.9,28.3,9.9,5.2,112.6,0.475,0.377,43.0,114.5,-1.9,2025
Los Angeles Lakers,0.474,0.352,0.787,9.4,32.5,41.9,27.0,7.8,5.1,113.7,0.477,0.363,44.9,115.7,-2.0,2025
Chicago Bulls,0.468,0.371,0.798,9.4,34.7,44.1,28.1,7.3,4.6,112.9,0.471,0.336,45.2,115.7,-2.8,2025
Philadelphia 76ers,0.449,0.343,0.783,10.1,29.8,40.0,22.9,9.6,4.2,110.4,0.488,0.366,45.3,115.4,-5.0,2025
Charlotte Hornets,0.429,0.344,0.771,13.2,33.7,47.0,24.2,8.2,4.9,108.5,0.465,0.349,44.8,114.0,-5.5,2025
Utah Jazz,0.456,0.358,0.791,12.1,33.5,45.6,25.1,6.9,5.0,111.9,0.476,0.358,42.8,118.7,-6.8,2025
Toronto Raptors,0.468,0.349,0.737,12.2,32.0,44.2,28.9,7.7,4.6,111.1,0.472,0.369,44.0,118.1,-7.0,2025
Brooklyn Nets,0.444,0.359,0.795,10.1,31.3,41.4,25.8,7.4,3.9,109.2,0.488,0.379,43.5,116.7,-7.5,2025
New Orleans Pelicans,0.443,0.344,0.769,12.5,30.9,43.5,25.4,9.6,5.6,109.8,0.48,0.361,46.6,117.9,-8.1,2025
Portland Trail Blazers,0.449,0.338,0.77,12.6,31.2,43.8,23.5,8.0,5.6,109.2,0.478,0.377,45.4,117.7,-8.5,2025
Washington Wizards,0.439,0.333,0.771,10.5,32.6,43.1,24.4,7.5,5.2,105.8,0.476,0.363,47.7,119.9,-14.1,2025
