Team,FG%,3P%,FT%,ORB,DRB,TRB,Assists,Steals,Block,Offensive Rating,Opponent FG%,Opponent 3P%,Opponent TRB,Defensive Rating,Net Rating,Year
Utah Jazz,0.468,0.389,0.799,10.7,38.0,48.8,23.9,6.7,5.2,117.6,0.447,0.341,43.1,108.3,9.3,2021
Los Angeles Clippers,0.482,0.411,0.839,9.7,35.8,45.5,25.2,7.3,4.2,117.6,0.464,0.356,42.5,111.2,6.4,2021
Phoenix Suns,0.49,0.378,0.834,8.9,34.8,43.7,27.4,7.3,4.4,117.2,0.467,0.354,43.4,111.3,5.9,2021
Milwaukee Bucks,0.487,0.389,0.76,10.0,36.9,46.9,24.9,7.9,4.5,117.2,0.456,0.384,42.4,111.4,5.8,2021
Philadelphia 76ers,0.476,0.374,0.767,10.0,34.9,44.9,23.6,9.1,6.2,113.2,0.453,0.36,42.7,107.6,5.6,2021
Denver Nuggets,0.485,0.377,0.803,10.7,34.5,45.2,27.3,8.2,4.6,117.1,0.469,0.363,41.9,112.1,5.0,2021
Brooklyn Nets,0.494,0.392,0.804,8.9,35.5,44.3,26.7,6.7,5.3,118.3,0.459,0.365,43.0,113.8,4.5,2021
Los Angeles Lakers,0.472,0.354,0.739,9.7,34.7,44.4,24.7,7.8,5.4,109.9,0.46,0.352,42.2,107.1,2.8,2021
Atlanta Hawks,0.468,0.373,0.812,10.7,35.7,46.4,24.5,7.1,4.8,115.7,0.463,0.349,43.4,113.3,2.4,2021
Dallas Mavericks,0.47,0.362,0.778,9.4,35.1,44.5,23.5,6.4,4.4,115.4,0.46,0.365,45.1,113.0,2.4,2021
New York Knicks,0.456,0.392,0.784,10.0,36.7,46.6,22.1,7.3,5.2,110.6,0.44,0.337,45.5,108.2,2.4,2021
Portland Trail Blazers,0.453,0.385,0.823,10.8,34.4,45.2,21.6,7.0,5.1,117.8,0.473,0.372,46.1,116.0,1.8,2021
Boston Celtics,0.466,0.374,0.775,10.8,34.0,44.8,23.7,7.8,5.4,114.0,0.464,0.374,43.0,112.5,1.5,2021
Golden State Warriors,0.468,0.376,0.785,7.8,34.3,42.0,27.0,8.0,4.6,111.1,0.452,0.359,46.2,110.1,1.0,2021
Memphis Grizzlies,0.467,0.356,0.771,11.0,34.9,46.0,26.6,9.0,5.0,112.0,0.462,0.367,44.2,111.0,1.0,2021
Miami Heat,0.468,0.358,0.79,8.3,34.4,42.7,27.1,8.1,4.1,111.2,0.459,0.365,44.1,111.2,0.0,2021
Indiana Pacers,0.474,0.364,0.792,8.8,32.8,41.6,26.7,8.3,6.2,112.4,0.468,0.366,45.6,112.4,0.0,2021
New Orleans Pelicans,0.477,0.348,0.729,11.6,35.3,47.0,25.8,7.5,4.3,113.5,0.469,0.38,41.4,113.8,-0.3,2021
Toronto Raptors,0.448,0.368,0.815,9.5,32.4,41.9,24.3,8.6,5.4,112.0,0.461,0.379,46.2,112.5,-0.5,2021
Chicago Bulls,0.476,0.37,0.791,9.7,35.5,45.1,26.9,6.7,4.2,111.1,0.473,0.356,42.3,112.0,-0.9,2021
Washington Wizards,0.475,0.351,0.769,9.2,33.9,43.1,24.3,7.0,3.9,111.2,0.471,0.369,43.9,113.0,-1.8,2021
San Antonio Spurs,0.462,0.35,0.792,9.3,34.6,43.8,24.4,7.0,5.1,111.0,0.472,0.377,47.4,112.8,-1.8,2021
Charlotte Hornets,0.455,0.369,0.761,10.7,33.6,44.3,27.2,7.9,4.8,110.9,0.468,0.366,45.8,112.8,-1.9,2021
Sacramento Kings,0.481,0.364,0.745,9.3,32.0,41.3,25.5,7.5,5.0,113.6,0.488,0.38,45.2,117.2,-3.6,2021
Detroit Pistons,0.452,0.351,0.759,9.8,33.5,43.3,24.5,7.5,5.2,108.0,0.476,0.362,44.9,112.5,-4.5,2021
Minnesota Timberwolves,0.448,0.349,0.761,10.3,32.2,42.5,25.0,8.6,5.4,109.5,0.482,0.392,44.7,115.0,-5.5,2021
Houston Rockets,0.444,0.339,0.74,9.2,32.8,41.9,23.2,7.5,4.9,107.1,0.48,0.382,46.8,114.9,-7.8,2021
Cleveland Cavaliers,0.45,0.336,0.743,10.6,32.9,43.5,24.3,7.9,4.6,105.8,0.484,0.383,44.6,114.4,-8.6,2021
Orlando Magic,0.429,0.343,0.775,10.5,35.4,45.9,22.1,7.0,4.5,105.1,0.471,0.373,47.9,114.5,-9.4,2021
Oklahoma City Thunder,0.441,0.339,0.725,9.8,35.2,45.0,21.7,6.9,4.3,103.5,0.473,0.364,46.5,114.0,-10.5,2021
