Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
415,Turner Ward#,26,TOR,AL,-0.2,8,14,13,1,4,0,0,0,2,0,0,1,2,.308,.357,.308,.665,84,.312,80,4,1,0,0,0,0,/9H7,,wardtu01
416,Pat Sheridan*,33,NYY,AL,-0.6,62,127,113,13,23,3,0,4,7,1,1,13,30,.204,.286,.336,.622,72,.281,63,38,6,0,1,0,1,H9/87D,,sheripa01
417,Mike Kingery*,30,SFG,NL,-0.1,91,126,110,13,20,2,2,0,8,1,0,15,21,.182,.280,.236,.516,50,.270,58,26,3,0,0,0,1,H97/38,,kingemi01
418,Jeff King,26,PIT,NL,0.1,33,125,109,16,26,1,1,4,18,3,1,14,15,.239,.328,.376,.704,99,.317,89,41,3,1,0,1,3,5,,kingje01
419,Tino Martinez*,23,SEA,AL,-0.2,36,125,112,11,23,2,0,4,9,0,0,11,24,.205,.272,.330,.602,66,.275,58,37,2,0,0,2,0,3/HD,,martiti02
420,Alonzo Powell,26,SEA,AL,-0.5,57,125,111,16,24,6,1,3,12,0,2,11,24,.216,.288,.369,.657,81,.295,78,41,1,1,0,2,0,7H9/3D8,,powelal01
421,Deion Sanders*,23,ATL,NL,-1.0,54,122,110,16,21,1,2,4,13,11,3,12,23,.191,.270,.345,.616,68,.302,65,38,1,0,0,0,0,7H/89,,sandede02
422,Mike Benjamin,25,SFG,NL,-0.2,54,120,106,12,13,3,0,2,8,3,0,7,26,.123,.188,.208,.396,14,.202,2,22,1,2,3,2,2,6H/5,,benjami01
423,Tommy Gregg*,27,ATL,NL,-0.6,72,120,107,13,20,8,1,1,4,2,2,12,24,.187,.275,.308,.583,60,.268,51,33,1,1,0,0,2,H3/79,,greggto01
424,John Marzano,28,BOS,AL,0.1,49,119,114,10,30,8,0,0,9,0,0,1,16,.263,.271,.333,.605,64,.286,60,38,5,1,1,2,0,2/H,,marzajo01
425,Kevin Ward,29,SDP,NL,0.2,44,118,107,13,26,7,2,2,8,1,4,9,27,.243,.308,.402,.710,96,.314,96,43,3,1,1,0,0,7H/9,,wardke01
426,Craig Worthington,26,BAL,AL,0.3,31,116,102,11,23,3,0,4,12,0,1,12,14,.225,.313,.373,.686,93,.326,101,38,3,1,1,0,0,5/H,,worthcr01
427,John Wehner,24,PIT,NL,0.8,37,113,106,15,36,7,0,0,7,3,0,7,17,.340,.381,.406,.786,123,.374,127,43,0,0,0,0,0,5/H,,wehnejo01
428,Reggie Jefferson#,22,2TM,2LG,-0.7,31,113,108,11,21,3,0,3,13,0,0,4,24,.194,.221,.306,.527,44,.253,41,33,1,0,0,1,0,3/H,,jeffere01
429,Reggie Jefferson#,22,CIN,NL,0.2,5,8,7,1,1,0,0,1,1,0,0,1,2,.143,.250,.571,.821,121,.475,199,4,0,0,0,0,0,/H3,,jeffere01
430,Reggie Jefferson#,22,CLE,AL,-0.9,26,105,101,10,20,3,0,2,12,0,0,3,22,.198,.219,.287,.506,39,.236,30,29,1,0,0,1,0,3,,jeffere01
431,Jim Lindeman,29,PHI,NL,0.4,65,111,95,13,32,5,0,0,12,0,1,13,14,.337,.413,.389,.802,129,.371,134,37,1,0,2,1,1,H79/83,,lindeji01
432,Ken Williams,27,2TM,2LG,0.5,47,109,99,16,25,7,2,1,4,3,1,7,27,.253,.312,.394,.706,96,.320,89,39,2,2,0,1,0,9H7/8D,,willike02
433,Ken Williams,27,TOR,AL,-0.1,13,35,29,5,6,2,0,1,3,1,0,4,5,.207,.314,.379,.694,89,.322,82,11,1,1,0,1,0,/9HD78,,willike02
434,Ken Williams,27,MON,NL,0.6,34,74,70,11,19,5,2,0,1,2,1,3,22,.271,.311,.400,.711,100,.320,93,28,1,1,0,0,0,9H/78,,willike02
435,José Hernández,21,TEX,AL,-0.2,45,107,98,8,18,2,1,0,4,0,1,3,31,.184,.208,.224,.432,21,.202,7,22,2,0,6,0,0,6/H5,,hernajo01
