Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
523,Dave Hansen*,22,LAD,NL,0.3,53,58,56,3,15,4,0,1,5,1,0,2,12,.268,.293,.393,.686,94,.345,109,22,2,0,0,0,0,H5/6,,hanseda01
524,Chris Nabholz*,24,MON,NL,-0.2,24,58,52,5,6,0,0,0,1,0,0,3,14,.115,.164,.115,.279,-19,.138,-46,6,2,0,3,0,0,1,,nabhoch01
525,Mark Portugal,28,HOU,NL,0.2,33,58,46,4,9,1,0,0,3,0,0,4,4,.196,.269,.217,.487,43,.234,30,10,0,1,6,1,0,1/H,,portuma01
526,Kevin Romine,30,BOS,AL,-0.7,44,58,55,7,9,2,0,1,7,1,1,3,10,.164,.207,.255,.461,25,.223,20,14,1,0,0,0,0,HD9/78,,rominke01
527,Rod Booker*,32,PHI,NL,-0.3,28,56,53,3,12,1,0,0,7,0,0,1,7,.226,.236,.245,.482,37,.227,23,13,1,0,1,1,1,6/H5,,bookero01
528,Carl Nichols,28,HOU,NL,0.2,20,56,51,3,10,3,0,0,1,0,0,5,17,.196,.268,.255,.523,53,.239,40,13,0,0,0,0,1,2/H,,nichoca01
529,Ron Kittle,33,CHW,AL,-0.1,17,55,47,7,9,0,0,2,7,0,0,5,9,.191,.291,.319,.610,71,.284,67,15,2,2,0,1,0,3/H,,kittlro01
530,Joe Girardi,26,CHC,NL,-0.1,21,54,47,3,9,2,0,0,6,0,0,6,6,.191,.283,.234,.517,45,.277,55,11,0,0,1,0,1,2/H,,girarjo01
531,Mike Bielecki,31,2TM,NL,-0.3,41,53,46,1,3,0,0,0,7,0,0,3,21,.065,.122,.065,.188,-46,.099,-85,3,1,0,4,0,0,1,,bielemi01
532,Mike Bielecki,31,CHC,NL,-0.3,39,53,46,1,3,0,0,0,7,0,0,3,21,.065,.122,.065,.188,-46,.099,-85,3,1,0,4,0,0,1,,bielemi01
533,Mike Bielecki,31,ATL,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,bielemi01
534,Braulio Castillo,23,PHI,NL,-0.4,28,53,52,3,9,3,0,0,2,1,1,1,15,.173,.189,.231,.419,18,.221,25,12,1,0,0,0,0,8/H9,,castibr01
535,Jim Deshaies*,31,HOU,NL,-0.1,28,53,41,1,4,0,0,0,0,0,0,4,16,.098,.178,.098,.275,-18,.144,-50,4,1,0,8,0,0,1,,deshaji01
536,Dennis Rasmussen*,32,SDP,NL,0.2,25,52,44,3,6,1,0,0,0,0,0,5,12,.136,.224,.159,.384,9,.211,5,7,0,0,3,0,0,1/H,,rasmude01
537,José DeLeón,30,STL,NL,-0.6,28,51,46,0,2,0,0,0,0,0,0,0,17,.043,.043,.043,.087,-75,.040,-133,2,0,0,5,0,0,1,,deleojo01
538,Paul Sorrento*,25,MIN,AL,-0.1,26,51,47,6,12,2,0,4,13,0,0,4,11,.255,.314,.553,.867,131,.364,116,26,3,0,0,0,2,3H/D,,sorrepa01
539,Mike Humphreys,24,NYY,AL,0.0,25,50,40,9,8,0,0,0,3,2,0,9,7,.200,.347,.200,.547,56,.310,75,8,0,0,1,0,0,H/7D59,,humphmi01
540,Jack Armstrong,26,CIN,NL,-0.3,27,49,43,3,4,1,0,0,2,0,0,1,18,.093,.114,.116,.230,-36,.108,-83,5,1,0,5,0,0,1,,armstja01
541,Denny Walling*,37,TEX,AL,-0.6,24,49,44,1,4,1,0,0,2,0,0,3,8,.091,.184,.114,.297,-15,.157,-23,5,3,2,0,0,0,5H/79,,wallide01
542,Dave Rohde#,27,HOU,NL,-0.5,29,48,41,3,5,0,0,0,0,0,0,5,8,.122,.217,.122,.339,1,.176,-9,5,1,0,2,0,0,H/4563,,rohdeda01
543,Shawn Boskie,24,CHC,NL,0.4,30,47,41,3,7,0,1,1,2,0,0,3,15,.171,.227,.293,.520,43,.260,41,12,0,0,3,0,0,1/H,,boskish01
544,Wayne Kirby*,27,CLE,AL,-0.3,21,47,43,4,9,2,0,0,5,1,2,2,6,.209,.239,.256,.495,37,.209,21,11,2,0,1,1,0,9/7H8,,kirbywa01
545,Ron Darling,30,2TM,NL,-0.1,20,46,40,0,5,4,0,0,3,0,0,0,16,.125,.125,.225,.350,-3,.153,-46,9,0,0,6,0,0,1,,darliro01
546,Ron Darling,30,NYM,NL,-0.1,17,39,34,0,4,3,0,0,1,0,0,0,14,.118,.118,.206,.324,-10,.142,-55,7,0,0,5,0,0,1,,darliro01
547,Ron Darling,30,MON,NL,0.1,3,7,6,0,1,1,0,0,2,0,0,0,2,.167,.167,.333,.500,38,.217,5,2,0,0,1,0,0,/1,,darliro01
548,Greg Harris,27,SDP,NL,-0.3,20,45,36,0,3,0,0,0,2,0,0,1,13,.083,.132,.083,.215,-39,.110,-92,3,1,1,7,0,0,1,,harrigr02
549,Darryl Kile,22,HOU,NL,-0.5,37,45,38,2,0,0,0,0,1,0,0,3,23,.000,.073,.000,.073,-77,.052,-113,0,1,0,4,0,0,1,,kileda01
550,George Canale*,25,MIL,AL,-0.1,21,44,34,6,6,2,0,3,10,0,0,8,6,.176,.318,.500,.818,125,.352,114,17,5,0,0,2,0,3/H,,canalge01
551,Dann Howitt*,27,OAK,AL,-0.3,21,44,42,5,7,1,0,1,3,0,0,1,12,.167,.182,.262,.444,25,.197,9,11,1,0,0,1,0,9/8H73,,howitda01
552,Frank Castillo,22,CHC,NL,-0.1,18,43,35,0,5,0,0,0,1,0,1,2,13,.143,.189,.143,.332,-6,.148,-47,5,0,0,6,0,0,1,,castifr01
553,Jimmy Jones,27,HOU,NL,0.3,26,43,38,4,7,1,0,0,0,0,0,3,11,.184,.244,.211,.454,34,.217,22,8,0,0,2,0,0,1,,jonesji02
554,Jeff McKnight#,28,BAL,AL,-0.5,16,43,41,2,7,1,0,0,2,1,0,2,7,.171,.209,.195,.404,15,.196,3,8,2,0,0,0,0,/7HD39,,mcknije01
555,Oil Can Boyd,31,MON,NL,-0.1,19,42,36,1,3,0,0,0,2,0,0,3,19,.083,.154,.083,.237,-31,.148,-41,3,0,0,3,0,0,1,,boydoi01
556,Jeff Gardner*,27,NYM,NL,-0.6,13,42,37,3,6,0,0,0,1,0,0,4,6,.162,.238,.162,.400,16,.197,5,6,0,0,0,1,0,/64H,,gardnje01
557,Tom Prince,26,PIT,NL,0.5,26,42,34,4,9,3,0,1,2,0,0,7,3,.265,.405,.441,.846,140,.411,159,15,3,1,0,0,0,2/H3,,princto01
558,Scott Servais,24,HOU,NL,0.1,16,42,37,0,6,3,0,0,6,0,0,4,8,.162,.244,.243,.487,42,.254,51,9,0,0,1,0,0,2/H,,servasc01
559,Bob Walk,34,PIT,NL,0.2,25,42,39,2,8,1,0,1,5,0,0,1,11,.205,.225,.308,.533,50,.241,33,12,1,0,2,0,0,1,,walkbo01
560,José Mota#,26,SDP,NL,-0.4,17,41,36,4,8,0,0,0,2,0,0,2,7,.222,.282,.222,.504,42,.266,48,8,0,1,2,0,0,4/H6,,motajo01
561,Don Robinson,34,SFG,NL,-0.1,35,41,40,1,6,1,0,0,4,0,0,1,13,.150,.171,.175,.346,0,.160,-19,7,0,0,0,0,0,1/H,,robindo01
562,Lenny Webster,26,MIN,AL,0.5,18,41,34,7,10,1,0,3,8,0,0,6,10,.294,.390,.588,.978,162,.423,157,20,2,0,0,1,0,2/H,,webstle01
563,Mike Blowers,26,NYY,AL,-0.1,15,40,35,3,7,0,0,1,1,0,0,4,3,.200,.282,.286,.568,58,.315,86,10,1,0,1,0,0,5/H,,blowemi01
564,Jarvis Brown,24,MIN,AL,0.1,38,40,37,10,8,0,0,0,0,7,1,2,8,.216,.256,.216,.473,30,.280,32,8,0,0,1,0,0,H98/D7,,brownja03
565,Reggie Sanders,23,CIN,NL,-0.7,9,40,40,6,8,0,0,1,3,1,1,0,9,.200,.200,.275,.475,31,.231,28,11,1,0,0,0,0,/8,,sandere02
566,Wally Whitehurst,27,NYM,NL,0.2,36,40,33,2,6,1,0,0,0,0,0,2,6,.182,.229,.212,.441,26,.234,22,7,0,0,5,0,0,1,,whitewa02
567,Carlos Rodríguez#,23,NYY,AL,-0.1,15,39,37,1,7,0,0,0,2,0,0,1,2,.189,.211,.189,.400,12,.211,11,7,3,0,1,0,0,6/4H,,rodrica01
568,Monty Fariss,23,TEX,AL,0.3,19,38,31,6,8,1,0,1,6,0,0,7,11,.258,.395,.387,.782,120,.365,123,12,0,0,0,0,0,/7H4D,,farismo01
569,Orel Hershiser,32,LAD,NL,0.5,21,38,31,6,8,2,0,0,2,1,0,3,8,.258,.324,.323,.646,85,.335,99,10,0,0,4,0,0,1,,hershor01
570,Rick Sutcliffe*,35,CHC,NL,-0.2,20,38,32,2,3,1,0,0,2,0,0,1,9,.094,.121,.125,.246,-31,.116,-83,4,1,0,5,0,0,1/H,,sutclri01
571,Sil Campusano,25,PHI,NL,0.1,15,37,35,2,4,0,0,1,2,0,0,1,10,.114,.139,.200,.339,-5,.156,-29,7,0,0,1,0,0,8/H,,campusi01
572,Scott Cooper*,23,BOS,AL,0.7,14,37,35,6,16,4,2,0,7,0,0,2,2,.457,.486,.686,1.172,215,.512,220,24,0,0,0,0,0,5/H,,coopesc01
573,Chris Hammond*,25,CIN,NL,0.7,20,37,34,4,12,3,0,0,1,0,0,2,10,.353,.389,.441,.830,130,.402,148,15,0,0,1,0,0,1,,hammoch01
574,Harvey Pulliam,23,KCR,AL,0.1,18,37,33,4,9,1,0,3,4,0,0,3,9,.273,.333,.576,.909,147,.387,139,19,1,0,1,0,1,7/9H,,pulliha01
575,Derek Bell,22,TOR,AL,-0.1,18,35,28,5,4,0,0,0,1,3,2,6,5,.143,.314,.143,.457,30,.241,36,4,0,1,0,0,0,/78H,,bellde01
576,Danny Cox,31,PHI,NL,0.0,23,35,29,4,3,0,0,0,1,0,0,2,16,.103,.161,.103,.265,-23,.164,-35,3,0,0,4,0,0,1,,coxda01
577,Les Lancaster,29,CHC,NL,0.0,64,34,28,2,5,2,0,0,2,0,0,0,13,.179,.179,.250,.429,18,.191,-27,7,0,0,6,0,0,1,,lancale01
578,Bruce Ruffin#,27,PHI,NL,-0.2,31,34,24,0,0,0,0,0,0,0,0,4,18,.000,.143,.000,.143,-56,.101,-100,0,0,0,6,0,0,1,,ruffibr01
579,Randy Myers*,28,CIN,NL,0.1,58,33,29,3,5,1,0,0,2,0,0,1,16,.172,.200,.207,.407,13,.189,-17,6,0,0,3,0,0,1,,myersra01
580,Mike Bell*,23,ATL,NL,-0.4,17,32,30,4,4,0,0,1,1,1,0,2,7,.133,.188,.233,.421,15,.264,40,7,2,0,0,0,0,3/H,,bellmi01
581,Luis de los Santos,24,DET,AL,-0.5,16,32,30,1,5,2,0,0,0,0,0,2,4,.167,.219,.233,.452,25,.211,11,7,2,0,0,0,0,/DH735,,deloslu01
582,Don Wakamatsu,28,CHW,AL,-0.1,18,32,31,2,7,0,0,0,0,0,0,1,6,.226,.250,.226,.476,34,.251,43,7,0,0,0,0,0,2/H,,wakamdo01
583,Scott Scudder,23,CIN,NL,0.1,27,31,29,2,3,0,0,1,1,0,0,0,11,.103,.103,.207,.310,-16,.202,-4,6,0,0,2,0,0,1,,scuddsc01
584,Terry McDaniel#,24,NYM,NL,-0.4,23,30,29,3,6,1,0,0,2,2,0,1,11,.207,.233,.241,.475,35,.237,20,7,0,0,0,0,0,H/789,,mcdante01
585,Dann Bilardello,32,SDP,NL,0.3,15,29,26,4,7,2,1,0,5,0,0,3,4,.269,.345,.423,.768,113,.346,108,11,0,0,0,0,0,2/H,,bilarda01
586,Ray Giannelli*,25,TOR,AL,0.1,9,29,24,2,4,1,0,0,0,1,0,5,9,.167,.310,.208,.519,45,.303,68,5,0,0,0,0,0,/5H,,giannra01
587,Kevin Gross,30,LAD,NL,0.3,48,29,25,4,7,1,0,0,3,0,0,2,14,.280,.333,.320,.653,87,.303,81,8,0,0,2,0,0,1/H,,grosske01
588,Chris Haney*,22,MON,NL,-0.2,16,29,27,1,2,0,0,0,1,0,0,0,3,.074,.074,.074,.148,-58,.102,-76,2,1,0,2,0,0,1,,haneych01
589,John Ramos,25,NYY,AL,-0.1,10,29,26,4,8,1,0,0,3,0,0,1,3,.308,.310,.346,.656,82,.289,68,9,1,0,0,2,0,/2DH,,ramosjo01
590,John Russell,30,TEX,AL,-0.4,22,29,27,3,3,0,0,0,1,0,0,1,7,.111,.138,.111,.249,-29,.119,-50,3,0,0,0,1,0,H/72D9,,russejo02
591,Kim Batiste,23,PHI,NL,-0.1,10,28,27,2,6,0,0,0,1,0,1,1,8,.222,.250,.222,.472,35,.184,5,6,0,0,0,0,1,/6H,,batiski01
592,Ron Jones*,27,PHI,NL,,28,28,26,0,4,2,0,0,3,0,0,2,9,.154,.214,.231,.445,26,.209,13,6,1,0,0,0,0,H,,jonesro02
593,Ted Wood*,24,SFG,NL,-0.4,10,28,25,0,3,0,0,0,1,0,0,2,11,.120,.185,.120,.305,-10,.154,-28,3,0,0,1,0,0,/9H,,woodte01
594,Eddie Zosky,23,TOR,AL,-0.2,18,28,27,2,4,1,1,0,2,0,0,0,8,.148,.148,.259,.407,9,.210,5,7,1,0,1,0,0,6/H,,zoskyed01
595,Norm Charlton#,28,CIN,NL,-0.3,41,27,23,1,1,1,0,0,0,0,0,0,10,.043,.043,.087,.130,-65,.057,-137,2,0,0,4,0,0,1/H,,charlno01
596,Royce Clayton,21,SFG,NL,-0.6,9,27,26,0,3,1,0,0,2,0,0,1,6,.115,.148,.154,.302,-13,.142,-32,4,1,0,0,0,0,/6H,,claytro01
597,Tim Jones*,28,STL,NL,-0.2,16,27,24,1,4,2,0,0,2,0,1,2,6,.167,.222,.250,.472,33,.178,0,6,0,0,0,1,1,6/4H,,jonesti02
598,Brad Komminsk,30,OAK,AL,-0.3,24,27,25,1,3,1,0,0,2,1,0,2,9,.120,.185,.160,.345,-1,.178,-10,4,0,0,0,0,0,/897H,,kommibr01
599,Rey Sánchez,23,CHC,NL,0.2,13,27,23,1,6,0,0,0,2,0,0,4,3,.261,.370,.261,.631,78,.307,79,6,0,0,0,0,0,6/4H,,sanchre01
600,Bob Scanlan,24,CHC,NL,-0.3,40,27,24,0,1,0,0,0,1,0,0,1,10,.042,.080,.042,.122,-65,.065,-111,1,3,0,2,0,0,1,,scanlbo01
601,Ed Whitson,36,SDP,NL,0.1,13,27,24,1,3,0,0,0,1,0,0,1,6,.125,.160,.125,.285,-19,.212,4,3,0,0,2,0,0,1,,whitsed01
602,Bob Zupcic,24,BOS,AL,-0.7,18,27,25,3,4,0,0,1,3,0,0,1,6,.160,.192,.280,.472,27,.213,6,7,0,0,1,0,0,/897H,,zupcibo01
603,Rubén Amaro Jr.#,26,CAL,AL,-0.2,10,26,23,0,5,1,0,0,2,0,0,3,3,.217,.308,.261,.569,60,.255,43,6,1,0,0,0,1,/47H9D,,amaroru02
604,Ryan Bowen,23,HOU,NL,0.1,17,26,22,2,4,1,0,0,0,0,0,3,11,.182,.280,.227,.507,49,.246,44,5,0,0,1,0,0,1/H,,bowenry01
605,Kelly Downs,30,SFG,NL,-0.1,45,26,23,3,2,0,0,0,1,0,0,1,5,.087,.125,.087,.212,-38,.105,-71,2,0,0,2,0,0,1,,downske01
606,Tony Eusebio,24,HOU,NL,-0.1,10,25,19,4,2,1,0,0,0,0,0,6,8,.105,.320,.158,.478,44,.258,55,3,1,0,0,0,0,/2H,,eusebto01
607,Carlos García,23,PIT,NL,-0.1,12,25,24,2,6,0,2,0,1,0,0,1,8,.250,.280,.417,.697,95,.344,111,10,1,0,0,0,0,/65H4,,garcica01
608,Kip Gross,26,CIN,NL,-0.2,29,25,22,1,2,0,0,0,1,0,0,0,6,.091,.091,.091,.182,-49,.083,-107,2,0,0,3,0,0,1,,grosski01
609,Danny Jackson,29,CHC,NL,-0.2,17,25,23,1,2,0,0,0,1,0,0,0,13,.087,.087,.087,.174,-52,.079,-101,2,0,0,2,0,0,1,,jacksda02
610,Derrick May*,22,CHC,NL,0.1,15,25,22,4,5,2,0,1,3,0,0,2,1,.227,.280,.455,.735,100,.320,89,10,1,0,0,1,0,/H7,,mayde01
611,Scott Hemond,25,OAK,AL,0.0,23,24,23,4,5,0,0,0,0,1,2,1,7,.217,.250,.217,.467,35,.226,53,5,0,0,0,0,0,/24HD56,,hemonsc01
612,Paul McClellan,25,SFG,NL,0.0,13,24,21,0,3,0,0,0,1,0,0,1,3,.143,.182,.143,.325,-5,.156,-32,3,0,0,2,0,0,1,,mcclepa01
613,Russ Morman,29,KCR,AL,-0.2,12,24,23,1,6,0,0,0,1,0,0,1,5,.261,.292,.261,.553,55,.238,29,6,0,0,0,0,1,/3H7D,,mormaru01
614,John Moses#,33,DET,AL,-0.3,13,24,21,5,1,1,0,0,1,4,0,2,7,.048,.130,.095,.226,-37,.203,-31,2,0,0,1,0,0,7/H9,,mosesjo01
615,Pete Schourek*,22,NYM,NL,0.1,35,24,22,0,3,1,0,0,3,0,0,2,9,.136,.208,.182,.390,12,.189,-1,4,0,0,0,0,0,1,,schoupe01
616,Rick Schu,29,PHI,NL,-0.3,17,24,22,1,2,0,0,0,2,0,0,1,7,.091,.125,.091,.216,-38,.144,-33,2,1,0,0,1,0,H/53,,schuri01
617,Jim Vatcher,26,SDP,NL,-0.2,17,24,20,3,4,0,0,0,2,1,0,4,6,.200,.333,.200,.533,52,.320,81,4,0,0,0,0,0,/9H7,,vatchji01
618,Gary Green,29,TEX,AL,-0.2,8,23,20,0,3,1,0,0,1,0,0,1,6,.150,.190,.200,.390,10,.182,-15,4,0,0,2,0,0,/6,,greenga01
619,Nelson Liriano#,27,KCR,AL,0.3,10,23,22,5,9,0,0,0,1,0,1,0,2,.409,.409,.409,.818,128,.392,159,9,0,0,1,0,0,4,,liriane01
620,Fred Manrique,29,OAK,AL,-0.1,9,23,21,2,3,0,0,0,0,0,0,2,1,.143,.217,.143,.360,5,.181,-2,3,1,0,0,0,0,/64H,,manrifr01
621,Joe Redfield,30,PIT,NL,-0.2,11,23,18,1,2,0,0,0,0,0,1,4,1,.111,.273,.111,.384,13,.188,11,2,0,0,1,0,0,/5H,,redfijo01
622,Rhéal Cormier*,24,STL,NL,0.1,11,22,21,2,5,0,0,0,1,0,0,0,5,.238,.238,.238,.476,35,.217,14,5,0,0,1,0,0,1,,cormirh01
623,Jorge Pedre,24,KCR,AL,0.1,10,22,19,2,5,1,1,0,3,0,0,3,5,.263,.364,.421,.785,117,.355,114,8,0,0,0,0,0,/23,,pedrejo01
624,Stan Royer,23,STL,NL,0.2,9,22,21,1,6,1,0,0,1,0,0,1,2,.286,.318,.333,.652,84,.341,107,7,0,0,0,0,0,/5H,,royerst01
625,Shawn Hare*,24,DET,AL,-0.5,9,21,19,0,1,1,0,0,0,0,0,2,1,.053,.143,.105,.248,-30,.130,-46,2,3,0,0,0,0,/9HD,,haresh01
626,José Meléndez,25,SDP,NL,-0.1,31,21,20,1,2,1,0,0,0,0,0,1,14,.100,.143,.150,.293,-18,.139,-41,3,0,0,0,0,0,1,,melenjo01
627,Terry Puhl*,34,KCR,AL,-0.1,15,21,18,0,4,0,0,0,3,0,0,3,2,.222,.333,.222,.556,58,.254,41,4,1,0,0,0,1,H/D7,,puhlte01
628,Pat Combs*,24,PHI,NL,0.1,14,20,15,5,2,0,0,0,0,0,0,2,7,.133,.278,.133,.411,20,.221,13,2,0,1,2,0,0,1,,combspa01
629,Stan Jefferson#,28,CIN,NL,-0.2,13,20,19,2,1,0,0,0,0,2,0,1,3,.053,.100,.053,.153,-56,.108,-84,1,0,0,0,0,0,/H789,,jeffest01
630,Ricky Bones,22,SDP,NL,0.0,11,19,13,1,1,0,0,0,1,0,0,2,5,.077,.200,.077,.277,-20,.155,-64,1,0,0,4,0,0,1,,bonesri01
631,Gary Cooper,26,HOU,NL,-0.2,9,19,16,1,4,1,0,0,2,0,0,3,6,.250,.368,.313,.681,100,.324,102,5,0,0,0,0,0,/H5,,coopega02
632,Jason Grimsley,23,PHI,NL,-0.1,12,19,17,2,1,0,0,0,0,0,0,2,6,.059,.158,.059,.217,-36,.122,-49,1,0,0,0,0,0,1,,grimsja01
633,Rob Maurer*,24,TEX,AL,-0.2,13,19,16,0,1,1,0,0,2,0,0,2,6,.063,.211,.125,.336,-4,.183,-5,2,0,1,0,0,0,/H3D,,maurero01
634,Vicente Palacios,27,PIT,NL,-0.2,36,19,14,0,1,0,0,0,0,0,0,0,7,.071,.071,.071,.143,-59,.065,-159,1,0,0,5,0,0,1,,palacvi01
635,Donnie Scott#,29,CIN,NL,-0.4,10,19,19,0,3,0,0,0,0,0,0,0,2,.158,.158,.158,.316,-12,.144,-38,3,0,0,0,0,0,/2H,,scottdo01
636,Ron Witmeyer*,24,OAK,AL,-0.5,11,19,19,0,1,0,0,0,0,0,0,0,5,.053,.053,.053,.105,-70,.048,-95,1,1,0,0,0,0,/3H,,witmero01
637,Rich Amaral,29,SEA,AL,-0.2,14,18,16,2,1,0,0,0,0,0,0,1,5,.063,.167,.063,.229,-33,.132,-43,1,1,1,0,0,0,/H456D3,,amarari01
638,Mike Maddux*,29,SDP,NL,0.1,64,18,13,1,1,0,0,0,0,0,0,2,4,.077,.200,.077,.277,-20,.217,-2,1,0,0,3,0,0,1,,maddumi01
639,Luis Medina,28,CLE,AL,-0.4,5,18,16,0,1,0,0,0,0,0,0,1,7,.063,.118,.063,.180,-49,.096,-79,1,0,0,1,0,0,/D,,medinlu01
640,Erik Pappas,25,CHC,NL,-0.1,7,18,17,1,3,0,0,0,2,0,0,1,5,.176,.222,.176,.399,12,.191,-5,3,0,0,0,0,0,/2H,,pappaer01
641,Johnny Paredes,28,DET,AL,0.1,16,18,18,4,6,0,0,0,0,1,1,0,1,.333,.333,.333,.667,84,.341,113,6,0,0,0,0,0,/H4D56,,paredjo01
642,Rick Mahler,37,2TM,NL,-0.1,23,18,14,0,2,1,0,0,0,0,0,0,4,.143,.143,.214,.357,-1,.158,-66,3,0,0,4,0,0,1,,mahleri01
643,Rick Mahler,37,MON,NL,-0.1,10,12,9,0,1,0,0,0,0,0,0,0,2,.111,.111,.111,.222,-37,.101,-120,1,0,0,3,0,0,1,,mahleri01
644,Rick Mahler,37,ATL,NL,0.0,13,6,5,0,1,1,0,0,0,0,0,0,2,.200,.200,.400,.600,61,.261,32,2,0,0,1,0,0,1,,mahleri01
645,Marty Barrett,33,SDP,NL,-0.1,12,17,16,1,3,1,0,1,3,0,0,0,3,.188,.235,.438,.673,83,.301,76,7,0,1,0,0,0,/H45,,barrema02
646,Chris Cron,27,CAL,AL,-0.2,6,17,15,0,2,0,0,0,0,0,0,2,5,.133,.235,.133,.369,6,.192,1,2,0,0,0,0,0,/3DH,,cronch01
647,José Escobar,30,CLE,AL,0.0,10,17,15,0,3,0,0,0,1,0,0,1,4,.200,.250,.200,.450,26,.216,10,3,0,0,1,0,0,/645,,escobjo01
648,Carlos Hernández,24,LAD,NL,0.0,15,16,14,1,3,1,0,0,1,1,0,0,5,.214,.250,.286,.536,52,.258,38,4,2,1,0,1,0,2/H5,,hernaca01
649,Carney Lansford,34,OAK,AL,-0.4,5,16,16,0,1,0,0,0,1,0,0,0,2,.063,.063,.063,.125,-64,.057,-89,1,0,0,0,0,0,/5DH,,lansfca01
650,Adam Peterson,25,SDP,NL,-0.1,13,16,13,0,0,0,0,0,0,0,0,2,9,.000,.133,.000,.133,-59,.094,-84,0,0,0,1,0,0,1,,peterad01
651,Jerry Willard*,31,ATL,NL,0.1,17,16,14,1,3,0,0,1,4,0,0,2,5,.214,.313,.429,.741,102,.337,99,6,0,0,0,0,0,H/2,,willaje01
652,Neal Heaton*,31,PIT,NL,0.2,44,15,14,0,4,1,0,0,1,0,0,1,2,.286,.333,.357,.690,96,.316,91,5,0,0,0,0,0,1/H,,heatone01
653,Eric Karros,23,LAD,NL,-0.3,14,15,14,0,1,1,0,0,1,0,0,1,6,.071,.133,.143,.276,-21,.134,-40,2,0,0,0,0,0,3/H,,karroer01
654,Bobby Moore,25,KCR,AL,0.0,18,15,14,3,5,1,0,0,0,3,2,1,2,.357,.400,.429,.829,130,.421,173,6,0,0,0,0,0,H/78,,moorebo02
655,Rick Parker,28,SFG,NL,-0.3,13,15,14,0,1,0,0,0,1,0,0,1,5,.071,.133,.071,.205,-39,.108,-56,1,0,0,0,0,0,H/78,,parkeri01
656,Bill Sampen,28,MON,NL,0.1,43,15,13,2,3,0,0,0,1,0,0,0,6,.231,.231,.231,.462,31,.210,1,3,0,0,2,0,0,1,,sampebi01
657,Anthony Young,25,NYM,NL,0.0,10,15,14,0,2,1,0,0,0,0,0,0,4,.143,.143,.214,.357,0,.158,-32,3,0,0,1,0,0,1,,youngan01
658,Darnell Coles,29,SFG,NL,-0.2,11,14,14,1,3,0,0,0,0,0,0,0,2,.214,.214,.214,.429,24,.195,6,3,1,0,0,0,0,/H93,,colesda01
659,Sid Fernandez*,28,NYM,NL,0.0,8,14,13,1,2,1,0,0,0,0,0,0,7,.154,.154,.231,.385,8,.170,-24,3,0,0,1,0,0,/1,,fernasi01
660,Pete Smith,25,ATL,NL,0.0,14,14,12,1,2,0,0,0,0,0,0,1,5,.167,.231,.167,.397,11,.195,-12,2,0,0,1,0,0,1,,smithpe02
661,Barry Lyons,31,2TM,2LG,-0.2,11,14,14,0,1,0,0,0,0,0,0,0,2,.071,.071,.071,.143,-59,.132,-41,1,0,0,0,0,0,/2H3,,lyonsba01
662,Barry Lyons,31,LAD,NL,-0.1,9,9,9,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.103,-62,0,0,0,0,0,0,/2H,,lyonsba01
663,Barry Lyons,31,CAL,AL,0.0,2,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,12,.182,-5,1,0,0,0,0,0,/3,,lyonsba01
664,Andy Ashby,23,PHI,NL,-0.1,8,13,12,0,1,0,0,0,0,0,0,0,9,.083,.083,.083,.167,-53,.076,-98,1,0,0,1,0,0,/1,,ashbyan01
665,Rod Brewer*,25,STL,NL,-0.4,19,13,13,0,1,0,0,0,1,0,0,0,5,.077,.077,.077,.154,-56,.070,-88,1,0,0,0,0,0,3/9H,,brewero01
666,Carmelo Castillo,33,MIN,AL,-0.1,9,13,12,0,2,0,1,0,0,0,0,0,2,.167,.231,.333,.564,51,.253,38,4,0,1,0,0,0,/H9D7,,castica01
667,Danny Heep*,33,ATL,NL,0.1,14,13,12,4,5,1,0,0,3,0,1,1,4,.417,.462,.500,.962,165,.396,169,6,0,0,0,0,0,H/37,,heepda01
668,Xavier Hernandez*,25,HOU,NL,-0.1,32,13,10,0,0,0,0,0,0,0,0,2,7,.000,.167,.000,.167,-47,.118,-58,0,0,0,1,0,0,1,,hernaxa01
669,Bryan Hickerson*,27,SFG,NL,-0.2,17,13,12,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,.000,-154,0,0,0,1,0,0,1,,hickebr01
670,Tony Bernazard#,34,DET,AL,-0.3,6,12,12,0,2,0,0,0,0,0,0,0,4,.167,.167,.167,.333,-8,.152,-31,2,0,0,0,0,0,/H4D,,bernato01
671,Brian Dorsett,30,SDP,NL,-0.2,11,12,12,0,1,0,0,0,1,0,0,0,3,.083,.083,.083,.167,-53,.076,-87,1,0,0,0,0,0,H/3,,dorsebr01
672,Mike Remlinger*,25,SFG,NL,-0.1,8,12,7,1,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,-61,.088,-154,0,0,0,4,0,0,/1,,remlimi01
