Team,FG%,3P%,FT%,ORB,DRB,TRB,Assists,Steals,Block,Offensive Rating,Opponent FG%,Opponent 3P%,Opponent TRB,Defensive Rating,Net Rating,Year
Boston Celtics,0.487,0.388,0.807,10.9,36.4,47.3,27.5,6.9,6.7,123.2,0.453,0.352,44.3,111.6,11.6,2024
Oklahoma City Thunder,0.499,0.389,0.825,8.8,33.1,41.8,27.0,8.4,6.5,119.5,0.455,0.361,44.5,112.1,7.4,2024
Minnesota Timberwolves,0.485,0.387,0.777,9.6,35.0,44.6,27.3,8.1,6.2,115.6,0.45,0.354,42.4,109.0,6.6,2024
Denver Nuggets,0.496,0.374,0.762,11.1,34.8,45.8,30.4,7.4,5.7,118.5,0.462,0.355,43.6,113.0,5.5,2024
New York Knicks,0.465,0.369,0.78,13.3,34.1,47.3,25.5,7.8,4.3,118.2,0.47,0.365,42.6,113.4,4.8,2024
New Orleans Pelicans,0.486,0.383,0.771,10.6,34.2,44.8,27.5,8.5,4.7,117.4,0.464,0.349,43.2,112.9,4.5,2024
Los Angeles Clippers,0.489,0.381,0.825,10.3,33.8,44.1,26.3,8.0,5.2,118.8,0.468,0.363,43.3,115.4,3.4,2024
Philadelphia 76ers,0.464,0.363,0.826,11.3,32.5,43.8,25.4,8.6,6.1,116.9,0.468,0.354,45.3,113.8,3.1,2024
Indiana Pacers,0.507,0.374,0.782,9.9,30.9,40.8,30.2,7.6,5.8,121.0,0.496,0.365,42.6,118.0,3.0,2024
Phoenix Suns,0.493,0.382,0.808,10.3,34.3,44.6,27.4,7.5,6.1,117.6,0.464,0.364,41.8,114.6,3.0,2024
Milwaukee Bucks,0.487,0.373,0.774,9.4,34.6,43.9,26.4,6.8,5.0,118.4,0.47,0.356,43.8,115.8,2.6,2024
Golden State Warriors,0.477,0.38,0.78,12.2,34.6,46.7,29.3,7.0,4.6,117.8,0.466,0.359,42.9,115.2,2.6,2024
Cleveland Cavaliers,0.479,0.367,0.765,10.1,34.2,44.3,28.7,7.5,4.7,115.2,0.463,0.371,43.6,112.7,2.5,2024
Dallas Mavericks,0.481,0.369,0.758,9.7,33.2,42.9,25.6,6.9,4.9,117.6,0.475,0.368,45.0,115.4,2.2,2024
Orlando Magic,0.476,0.352,0.759,10.8,32.6,43.4,25.3,8.4,5.3,113.4,0.474,0.358,40.9,111.3,2.1,2024
Miami Heat,0.465,0.37,0.818,9.7,34.1,43.8,26.7,7.8,3.5,114.0,0.467,0.353,44.3,112.2,1.8,2024
Sacramento Kings,0.477,0.366,0.745,10.9,33.3,44.1,28.4,7.6,4.2,116.9,0.48,0.387,42.7,115.2,1.7,2024
Houston Rockets,0.459,0.352,0.773,11.5,34.0,45.5,24.9,7.8,4.6,114.5,0.463,0.348,45.0,113.4,1.1,2024
Los Angeles Lakers,0.499,0.377,0.782,8.1,34.2,42.3,28.0,7.2,5.4,115.9,0.474,0.376,43.3,115.3,0.6,2024
Chicago Bulls,0.47,0.358,0.791,11.4,33.4,44.8,25.6,8.0,4.9,114.9,0.473,0.37,44.4,116.3,-1.4,2024
Atlanta Hawks,0.465,0.364,0.797,12.4,31.9,44.2,26.3,7.4,4.5,117.2,0.495,0.384,43.8,119.4,-2.2,2024
Brooklyn Nets,0.456,0.362,0.756,11.7,33.4,45.2,26.3,7.0,5.3,113.2,0.47,0.372,45.4,116.1,-2.9,2024
Utah Jazz,0.467,0.354,0.83,12.2,33.2,45.4,27.2,6.5,5.6,115.5,0.487,0.395,42.2,120.4,-4.9,2024
San Antonio Spurs,0.462,0.347,0.782,10.2,33.3,43.4,29.3,7.0,6.2,110.0,0.487,0.373,44.5,116.4,-6.4,2024
Toronto Raptors,0.471,0.347,0.756,10.9,31.8,42.6,28.5,7.7,4.7,112.3,0.491,0.376,45.2,118.8,-6.5,2024
Memphis Grizzlies,0.435,0.346,0.764,11.1,32.1,43.2,25.0,8.3,6.2,107.2,0.474,0.378,46.2,114.3,-7.1,2024
Washington Wizards,0.47,0.348,0.764,8.9,31.0,39.9,27.1,7.4,4.9,110.5,0.496,0.362,47.6,119.6,-9.1,2024
Detroit Pistons,0.463,0.348,0.785,10.5,32.8,43.3,25.4,6.5,4.7,109.7,0.49,0.37,43.1,118.8,-9.1,2024
Portland Trail Blazers,0.439,0.345,0.791,12.9,30.7,43.5,23.5,7.8,4.4,108.3,0.491,0.351,44.6,117.5,-9.2,2024
Charlotte Hornets,0.46,0.355,0.786,9.6,31.7,41.3,25.4,7.0,4.6,109.3,0.494,0.377,46.5,119.8,-10.5,2024
