Team,FG%,3P%,FT%,ORB,DRB,TRB,Assists,Steals,Block,Offensive Rating,Opponent FG%,Opponent 3P%,Opponent TRB,Defensive Rating,Net Rating,Year
Boston Celtics,0.475,0.377,0.812,9.7,35.6,45.3,26.7,6.4,5.2,118.0,0.463,0.345,44.0,111.5,6.5,2023
Cleveland Cavaliers,0.488,0.367,0.78,10.0,32.5,42.5,25.8,7.4,4.8,116.1,0.468,0.368,42.7,110.6,5.5,2023
Philadelphia 76ers,0.487,0.387,0.835,8.9,32.9,41.8,25.7,7.9,4.8,117.7,0.473,0.348,42.1,113.3,4.4,2023
Memphis Grizzlies,0.475,0.351,0.733,11.9,34.0,45.9,25.6,8.2,5.7,115.1,0.453,0.355,43.7,111.2,3.9,2023
Milwaukee Bucks,0.473,0.368,0.743,11.0,37.0,48.0,25.5,6.3,4.9,115.4,0.456,0.354,43.6,111.9,3.5,2023
Denver Nuggets,0.504,0.379,0.751,10.3,33.4,43.7,29.3,7.7,4.6,117.6,0.478,0.344,41.5,114.2,3.4,2023
New York Knicks,0.47,0.354,0.761,12.8,34.6,47.3,23.3,6.5,4.2,117.8,0.462,0.357,42.7,114.8,3.0,2023
Sacramento Kings,0.494,0.369,0.79,9.4,32.6,42.0,27.0,6.9,3.3,119.4,0.492,0.373,41.7,116.8,2.6,2023
Phoenix Suns,0.467,0.374,0.793,12.0,32.8,44.8,27.6,7.2,5.3,115.1,0.466,0.357,43.4,113.0,2.1,2023
New Orleans Pelicans,0.48,0.364,0.793,10.6,33.2,43.7,25.9,8.3,4.1,114.4,0.472,0.339,41.8,112.5,1.9,2023
Golden State Warriors,0.479,0.385,0.794,10.3,33.3,43.6,29.1,7.0,3.8,116.1,0.469,0.364,42.3,114.4,1.7,2023
Toronto Raptors,0.459,0.335,0.784,13.0,31.0,44.0,24.5,9.6,5.3,115.5,0.491,0.374,43.3,114.0,1.5,2023
Chicago Bulls,0.49,0.361,0.809,8.5,34.0,42.5,24.5,7.9,4.5,113.5,0.468,0.357,43.5,112.2,1.3,2023
Oklahoma City Thunder,0.465,0.356,0.809,11.2,31.6,42.8,23.9,8.1,4.1,115.2,0.474,0.358,45.7,114.2,1.0,2023
Brooklyn Nets,0.487,0.378,0.8,8.3,32.8,41.1,25.9,7.2,6.3,115.0,0.463,0.367,45.8,114.1,0.9,2023
Los Angeles Lakers,0.482,0.346,0.775,9.7,34.9,44.7,24.7,6.3,4.5,114.5,0.469,0.344,43.8,113.9,0.6,2023
Los Angeles Clippers,0.477,0.381,0.781,9.9,33.9,43.8,24.2,7.2,4.5,115.0,0.474,0.365,43.7,114.5,0.5,2023
Atlanta Hawks,0.483,0.352,0.818,11.0,32.6,43.7,24.6,7.0,4.8,116.6,0.486,0.356,43.4,116.3,0.3,2023
Dallas Mavericks,0.475,0.371,0.755,7.8,31.9,39.7,23.4,6.4,3.8,116.8,0.485,0.352,45.7,116.7,0.1,2023
Minnesota Timberwolves,0.49,0.365,0.755,9.0,32.2,41.1,25.7,7.9,5.3,113.7,0.471,0.369,43.9,113.8,-0.1,2023
Miami Heat,0.46,0.344,0.831,10.0,31.9,41.9,24.6,8.2,3.1,113.0,0.482,0.367,43.2,113.3,-0.3,2023
Utah Jazz,0.473,0.353,0.786,11.7,33.7,45.4,25.7,6.0,5.2,115.8,0.473,0.361,43.0,116.7,-0.9,2023
Washington Wizards,0.485,0.356,0.785,9.5,34.6,44.1,25.7,6.9,5.2,114.4,0.473,0.366,43.5,115.6,-1.2,2023
Orlando Magic,0.47,0.346,0.784,10.2,33.1,43.3,23.3,7.4,4.7,111.6,0.476,0.351,42.1,114.2,-2.6,2023
Indiana Pacers,0.469,0.367,0.79,10.0,30.9,40.9,26.6,7.6,5.7,114.6,0.485,0.373,44.6,117.7,-3.1,2023
Portland Trail Blazers,0.474,0.365,0.796,9.6,31.5,41.0,24.5,6.8,4.6,114.8,0.491,0.379,43.7,118.8,-4.0,2023
Charlotte Hornets,0.457,0.33,0.749,10.8,33.0,43.8,24.7,7.6,5.1,109.2,0.477,0.357,45.5,115.3,-6.1,2023
Houston Rockets,0.457,0.327,0.754,13.5,33.1,46.6,22.5,7.4,4.6,111.4,0.482,0.374,41.8,119.3,-7.9,2023
Detroit Pistons,0.454,0.351,0.771,11.2,31.4,42.6,23.1,7.0,3.8,110.7,0.489,0.36,44.9,118.9,-8.2,2023
San Antonio Spurs,0.465,0.345,0.743,11.5,31.1,42.6,26.5,6.8,3.8,110.2,0.507,0.391,43.9,120.0,-9.8,2023
