,matchId,gameDurationSeconds,championBlueTop,championBlueJG,championBlueMid,championBlueBot,championBlueSup,championRedTop,championRedJG,championRedMid,championRedBot,championRedSup,goldDifference,blueGrubCount,redGrubCount,blueDragonCount,redDragonCount,blueBaronCount,redBaronCount,blueAtakhan,redAtakhan,winner
0,NA1_5226817197,1725,6,5,126,145,267,54,91,517,115,40,265,3,3,3,1,1,0,1,0,0
0,NA1_5225965341,1834,897,106,166,99,267,150,200,3,112,555,3765,0,6,1,3,0,1,0,1,1
0,NA1_5225633242,952,114,56,10,236,117,54,11,55,42,60,-3218,4,2,1,1,0,0,0,0,1
0,NA1_5224009798,2420,887,91,86,96,412,150,28,31,81,26,-1651,6,0,2,3,0,2,1,0,1
0,NA1_5223971619,1792,150,62,55,81,497,54,104,127,42,60,-178,6,0,2,2,1,0,1,0,0
0,NA1_5223830990,1975,79,143,777,42,111,54,104,157,51,267,-2326,3,3,1,4,0,1,0,1,1
0,NA1_5223356895,1558,122,131,86,99,235,150,77,800,202,35,-1539,2,4,0,3,0,0,0,1,1
0,NA1_5223320632,1765,54,35,43,42,161,36,113,18,50,235,2653,3,3,2,2,0,1,0,1,1
0,NA1_5223170743,1662,14,62,910,119,43,150,141,154,360,60,-1904,2,4,1,3,0,1,0,1,1
0,NA1_5223138185,2368,54,121,777,429,44,14,76,127,119,555,-4387,1,5,3,3,0,2,0,1,1
0,NA1_5222584060,926,54,80,163,51,412,6,131,910,202,555,-5875,5,1,0,1,0,0,0,0,1
0,NA1_5222421461,2105,150,104,25,96,117,54,36,26,145,12,3543,3,0,3,2,1,0,0,1,0
0,NA1_5221988351,1724,69,80,54,18,89,17,234,800,42,40,2486,1,5,4,0,1,0,1,0,0
0,NA1_5221939749,2609,54,876,268,22,902,14,141,126,800,57,-4629,1,5,4,1,2,0,0,1,0
0,NA1_5233918385,931,41,234,50,523,40,10,59,68,51,432,-2248,5,1,0,2,0,0,0,0,1
0,NA1_5233279851,2290,31,427,112,202,117,799,9,3,221,350,-175,0,1,1,4,0,2,0,1,1
0,NA1_5233253261,1710,92,245,126,163,80,79,799,69,221,432,-1357,5,1,0,3,0,1,0,0,1
0,NA1_5233234236,2091,86,799,45,42,43,126,72,800,236,111,2819,5,1,3,2,1,0,1,0,0
0,NA1_5233199002,1839,164,799,112,119,412,122,104,55,145,201,-1513,3,3,1,4,0,1,0,1,1
0,NA1_5232553425,2166,897,19,134,51,60,266,35,799,222,111,4139,3,3,1,4,0,2,1,0,1
0,NA1_5232517138,1687,122,121,893,222,78,62,427,799,145,555,-2214,3,0,3,1,0,0,0,1,1
0,NA1_5232499400,1104,110,64,799,96,117,86,141,136,429,526,6874,6,0,2,0,0,0,0,0,0
0,NA1_5232485268,1608,106,234,799,202,43,75,28,42,51,432,-1809,6,0,3,1,1,0,1,0,0
0,NA1_5232478816,1102,14,121,799,110,99,41,11,893,21,43,8737,6,0,2,0,0,0,0,0,0
0,NA1_5232357490,1688,54,20,99,21,43,56,799,142,222,34,812,6,0,2,2,0,0,1,0,1
0,NA1_5232347964,1831,799,11,893,42,43,54,240,4,222,267,-3354,3,3,1,3,0,1,0,1,1
0,NA1_5232297510,2112,893,91,10,81,800,799,517,5,8,16,212,1,5,3,1,0,1,0,1,0
0,NA1_5232284762,1022,16,107,10,81,412,5,20,126,145,235,2291,3,3,1,0,0,0,0,0,0
0,NA1_5232263168,928,164,64,799,15,432,106,77,517,115,201,4127,6,0,1,0,0,0,0,0,0
0,NA1_5232244180,1054,31,254,800,67,526,14,141,517,81,43,-6317,2,4,0,2,0,0,0,0,1
0,NA1_5232186799,1743,122,104,7,145,117,6,799,103,429,25,-54,3,3,1,3,0,1,0,1,1
0,NA1_5232148744,1917,58,799,777,110,201,8,91,84,96,235,61,4,2,1,3,0,1,0,1,1
0,NA1_5232102458,1890,266,131,134,81,267,80,799,112,145,53,-887,6,0,1,4,1,0,0,1,0
0,NA1_5231904756,1634,266,234,84,81,40,126,131,3,523,412,1949,3,3,0,4,0,1,0,1,1
0,NA1_5231865926,1721,68,154,799,21,888,106,234,67,18,164,-2613,0,6,4,0,1,0,1,0,0
0,NA1_5231848981,930,126,64,84,222,526,897,63,799,29,117,7732,5,1,1,0,0,0,0,0,0
0,NA1_5231814506,2139,114,60,799,161,43,122,59,68,202,34,-41,3,3,1,4,0,1,1,0,1
0,NA1_5231791719,1639,122,56,85,910,235,68,77,799,29,43,3616,6,0,2,1,0,0,1,0,0
0,NA1_5243774371,2156,111,107,105,157,43,114,141,99,147,57,6373,6,0,3,2,0,1,1,0,0
0,NA1_5243525488,1656,8,60,246,145,80,106,121,154,96,40,-2767,0,6,0,4,0,1,0,1,1
0,NA1_5243495678,1805,23,79,91,145,147,54,64,246,50,526,2739,1,5,3,1,1,0,1,0,0
0,NA1_5243461123,2316,85,32,236,14,142,31,64,777,15,111,2169,5,1,3,3,2,0,0,1,1
0,NA1_5243433343,1514,41,234,142,145,147,24,64,26,895,412,2547,6,0,1,2,0,0,1,0,0
0,NA1_5243395130,2378,58,35,30,110,79,266,80,268,96,497,176,0,6,2,3,1,1,0,1,1
0,NA1_5243377298,977,69,203,92,498,497,48,234,84,18,3,7473,6,0,1,1,0,0,0,0,0
0,NA1_5243352837,1959,92,203,157,119,16,27,122,84,51,412,1722,4,2,2,3,1,0,1,0,0
0,NA1_5243326479,1898,58,56,163,15,48,92,77,910,42,497,-1839,6,0,2,3,0,0,1,0,0
0,NA1_5243198225,1324,164,76,777,147,526,58,5,163,15,37,-2850,6,0,0,3,0,0,0,1,1
0,NA1_5242382388,2346,516,19,147,22,25,72,799,4,42,60,53,3,3,3,3,0,2,1,0,1
0,NA1_5241694831,1503,8,28,39,81,267,240,80,127,22,235,-1771,5,1,0,3,0,0,0,1,1
0,NA1_5241640486,1769,897,91,34,222,902,246,77,90,119,267,155,6,0,2,2,0,1,1,0,0
0,NA1_5241486137,1192,114,104,163,81,888,10,234,254,523,555,-4395,0,6,0,3,0,0,0,0,1
0,NA1_5241463345,2180,126,799,79,145,147,86,64,163,22,60,-849,6,0,2,4,0,2,1,0,1
0,NA1_5241441026,1175,86,245,55,18,497,31,234,126,498,40,2745,5,1,1,1,0,0,0,0,0
0,NA1_5241423481,2317,92,20,142,202,223,27,106,517,18,48,4538,6,0,3,3,1,1,1,0,1
0,NA1_5241218192,1647,92,59,31,236,117,86,56,27,523,432,-2513,0,6,2,2,0,1,1,0,1
0,NA1_5243453623,1701,887,107,55,498,526,24,77,61,145,78,-4521,0,6,0,4,0,1,0,1,1
0,NA1_5243339274,1513,64,120,103,222,412,122,77,61,51,127,-3108,3,3,1,3,0,0,0,1,1
0,NA1_5243285467,1350,126,77,10,236,267,75,56,112,119,117,4771,5,1,2,1,0,0,1,0,0
0,NA1_5243274290,1175,82,234,142,119,60,266,67,31,29,37,2871,6,0,1,0,0,0,0,0,0
